PERMNO,date,RET
10107,20000131,-0.16167
10107,20000229,-0.086845
10107,20000331,0.188811
10107,20000428,-0.343529
10107,20000531,-0.103047
10107,20000630,0.278721
10107,20000731,-0.127344
10107,20000831,0
10107,20000929,-0.136079
10107,20001031,0.141969
10107,20001130,-0.166969
10107,20001229,-0.244009
10107,20010131,0.407781
10107,20010228,-0.033777
10107,20010330,-0.073093
10107,20010430,0.238857
10107,20010531,0.021107
10107,20010629,0.055218
10107,20010731,-0.093288
10107,20010831,-0.138087
10107,20010928,-0.103068
10107,20011031,0.136408
10107,20011130,0.104213
10107,20011231,0.031771
10107,20020131,-0.03834
10107,20020228,-0.084288
10107,20020328,0.033768
10107,20020430,-0.133477
10107,20020531,-0.025832
10107,20020628,0.074445
10107,20020731,-0.122852
10107,20020830,0.022926
10107,20020930,-0.108802
10107,20021031,0.222451
10107,20021129,0.078736
10107,20021231,-0.103675
10107,20030131,-0.082012
10107,20030228,0.002107
10107,20030331,0.021519
10107,20030430,0.055762
10107,20030530,-0.037167
10107,20030630,0.041853
10107,20030731,0.030031
10107,20030829,0.004165
10107,20030930,0.048265
10107,20031031,-0.053957
10107,20031128,-0.01645
10107,20031231,0.064566
10107,20040130,0.01023
10107,20040227,-0.040506
10107,20040331,-0.060309
10107,20040430,0.048135
10107,20040528,0.003827
10107,20040630,0.08883
10107,20040730,-0.002451
10107,20040831,-0.038961
10107,20040930,0.012821
10107,20041029,0.011573
10107,20041130,0.068645
10107,20041231,-0.003357
10107,20050131,-0.016467
10107,20050228,-0.039574
10107,20050331,-0.039348
10107,20050429,0.046752
10107,20050531,0.022925
10107,20050630,-0.037209
10107,20050729,0.030998
10107,20050831,0.072237
10107,20050930,-0.060263
10107,20051031,-0.001166
10107,20051130,0.080156
10107,20051230,-0.055275
10107,20060131,0.076482
10107,20060228,-0.042273
10107,20060331,0.012653
10107,20060428,-0.112459
10107,20060531,-0.058385
10107,20060630,0.028698
10107,20060731,0.032618
10107,20060831,0.071904
10107,20060929,0.064202
10107,20061031,0.049726
10107,20061130,0.026123
10107,20061229,0.01703
10107,20070131,0.03349
10107,20070228,-0.083927
10107,20070330,-0.01065
10107,20070430,0.074273
10107,20070531,0.028393
10107,20070629,-0.039756
10107,20070731,-0.016288
10107,20070831,-0.005519
10107,20070928,0.025409
10107,20071031,0.249491
10107,20071130,-0.084216
10107,20071231,0.059524
10107,20080131,-0.08427
10107,20080229,-0.162273
10107,20080331,0.043386
10107,20080430,0.004933
10107,20080530,-0.003156
10107,20080630,-0.028602
10107,20080731,-0.065067
10107,20080829,0.065319
10107,20080930,-0.021986
10107,20081031,-0.163357
10107,20081128,-0.08867
10107,20081231,-0.038576
10107,20090130,-0.12037
10107,20090227,-0.047953
10107,20090331,0.137461
10107,20090430,0.102885
10107,20090529,0.037512
10107,20090630,0.137865
10107,20090731,-0.010517
10107,20090831,0.053571
10107,20090930,0.043408
10107,20091030,0.078149
10107,20091130,0.065272
10107,20091231,0.036382
